iter	RMSE
0	7.706720431
1	7.209924107
2	6.747075301
3	6.31418901
4	5.903570656
5	5.526970445
6	5.188711401
7	4.863965464
8	4.56265966
9	4.289448533
10	4.034599935
11	3.800855559
12	3.583671143
13	3.378233453
14	3.187180137
15	3.013631356
16	2.854025833
17	2.707053184
18	2.570036005
19	2.445424382
20	2.329107643
21	2.211733421
22	2.113932367
23	2.012241857
24	1.92527712
25	1.844694705
26	1.772504849
27	1.69455306
28	1.631123611
29	1.57038734
30	1.514444388
31	1.462245411
32	1.404883456
33	1.360361343
34	1.311033683
35	1.270446947
36	1.225704649
37	1.19119136
38	1.160408426
39	1.121690864
40	1.092408713
41	1.059116181
42	1.028074337
43	1.003552126
44	0.9776898222
45	0.9499152924
46	0.9271695844
47	0.9053618716
48	0.885236944
49	0.8664527955
50	0.8468220277
51	0.8310295871
52	0.8161711589
53	0.8006308238
54	0.7895290987
55	0.7761241176
56	0.7632404306
57	0.7529459849
58	0.7450220404
59	0.7378719987
60	0.7318478305
61	0.7262341372
62	0.7210411433
63	0.7160997129
64	0.7120095642
65	0.7083117415
66	0.7049096904
67	0.7017209388
68	0.698721369
69	0.6964233583
70	0.6911374264
71	0.6891115931
72	0.6870968764
73	0.6794091537
74	0.6778401899
75	0.6672519712
76	0.6658255658
77	0.6461451612
78	0.6448278505
79	0.6324062393
80	0.6311510656
81	0.6302035804
82	0.6241693018
83	0.6231998471
84	0.6141997136
85	0.6134477419
86	0.5972668928
87	0.5965800687
88	0.5959482396
89	0.5953135744
90	0.5923951522
91	0.581672661
92	0.57869481
93	0.5781422164
94	0.5776400294
95	0.5772427388
96	0.5769756043
97	0.5597411903
98	0.5581163724
99	0.557801093
100	0.5574233569
101	0.5542246538
102	0.5487843208
103	0.5484128405
104	0.5482045177
105	0.5479136353
106	0.5476894663
107	0.5299399845
108	0.5230314046
109	0.5160348478
110	0.5157215303
111	0.5068254689
112	0.5030486609
113	0.502850055
114	0.4866334475
115	0.4864306214
116	0.476974171
117	0.4768026097
118	0.4765111276
119	0.4763064413
120	0.4753488482
121	0.4655045333
122	0.4653295017
123	0.4592651062
124	0.454481744
125	0.4489776252
126	0.443454723
127	0.4420781852
128	0.435841657
129	0.4316635418
130	0.4313436267
131	0.4219491765
132	0.4216857786
133	0.4215267679
134	0.4103593924
135	0.404523527
136	0.4042823537
137	0.3993865897
138	0.399180388
139	0.398962352
140	0.3938142418
141	0.3898945369
142	0.3897251256
143	0.3895466989
144	0.3869832015
145	0.386805575
146	0.3863046677
147	0.3824119185
148	0.3822497297
149	0.3762361778
150	0.3755055526
151	0.3715263471
152	0.3713834142
153	0.3712126677
154	0.3710877758
155	0.3664347516
156	0.3662944131
157	0.3661439762
158	0.365999452
159	0.3644891405
160	0.3641640043
161	0.360013355
162	0.3577955453
163	0.3576768647
164	0.3536111793
165	0.3534691499
166	0.3533551188
167	0.3480056199
168	0.3450692471
169	0.3444634688
170	0.3407348822
171	0.3406245811
